"idx","data","godzina","flow"
"692","03/06/2014","22",39.5
"693","03/06/2014","23",21.5
"694","03/07/2014","00",13.6875
"695","03/07/2014","01",21.5
"696","03/07/2014","02",20.5
"697","03/07/2014","03",20.5
"698","03/07/2014","04",32.25
"699","03/07/2014","05",79.75
"700","03/07/2014","06",161.75
"701","03/07/2014","07",369.5
"702","03/07/2014","08",413.25
"703","03/07/2014","09",302.5
"704","03/07/2014","10",236.5
"705","03/07/2014","11",224.75
"706","03/07/2014","12",209.25
"707","03/07/2014","13",237.25
"708","03/07/2014","14",224
"709","03/07/2014","15",226.5
"710","03/07/2014","16",285
"711","03/07/2014","17",284.5
"712","03/07/2014","18",220.5
"713","03/07/2014","19",140.5
"714","03/07/2014","20",89
"715","03/07/2014","21",69.75
"716","03/07/2014","22",48.25
"717","03/07/2014","23",44.25
"718","03/08/2014","00",58
"719","03/08/2014","01",22.5
"720","03/08/2014","02",21
"721","03/08/2014","03",14.5
"722","03/08/2014","04",10.75
"723","03/08/2014","05",33.5
"724","03/08/2014","06",49
"725","03/08/2014","07",90.25
"726","03/08/2014","08",103.5
"727","03/08/2014","09",173.75
"728","03/08/2014","10",229.25
"729","03/08/2014","11",244.5
"730","03/08/2014","12",231
"731","03/08/2014","13",243.25
"732","03/08/2014","14",183.25
"733","03/08/2014","15",193.75
"734","03/08/2014","16",206.5
"735","03/08/2014","17",212.25
"736","03/08/2014","18",183.75
"737","03/08/2014","19",171.75
"738","03/08/2014","20",120.25
"739","03/08/2014","21",108.75
"740","03/08/2014","22",56.75
"741","03/08/2014","23",30.75
"742","03/09/2014","00",76
"743","03/09/2014","01",47.375
"744","03/09/2014","02",65.25
"745","03/09/2014","03",53
"746","03/09/2014","04",68.25
"747","03/09/2014","05",74.75
"748","03/09/2014","06",163.75
"749","03/09/2014","07",378.25
"750","03/09/2014","08",428
"751","03/09/2014","09",255.25
"752","03/09/2014","10",238.25
"753","03/09/2014","11",245.75
"754","03/09/2014","12",201.75
"755","03/09/2014","13",226.25
"756","03/09/2014","14",214.25
"757","03/09/2014","15",232.5
"758","03/09/2014","16",286.5
"759","03/09/2014","17",285.5
"760","03/09/2014","18",202.75
"761","03/09/2014","19",135.75
"762","03/09/2014","20",87.75
"763","03/09/2014","21",95.5
"764","03/09/2014","22",62
"765","03/09/2014","23",72
"766","03/10/2014","00",16.25
"767","03/10/2014","01",14.75
"768","03/10/2014","02",12.875
"769","03/10/2014","03",13.875
"770","03/10/2014","04",25.5
"771","03/10/2014","05",65.75
"772","03/10/2014","06",140.625
"773","03/10/2014","07",352.25
"774","03/10/2014","08",384.125
"775","03/10/2014","09",277.5
"776","03/10/2014","10",246.625
"777","03/10/2014","11",225.375
"778","03/10/2014","12",208.125
"779","03/10/2014","13",210.5
"780","03/10/2014","14",215.625
"781","03/10/2014","15",227.75
"782","03/10/2014","16",258.25
"783","03/10/2014","17",256.875
"784","03/10/2014","18",166.5
"785","03/10/2014","19",128.625
"786","03/10/2014","20",83.25
"787","03/10/2014","21",64.75
"788","03/10/2014","22",42.375
"789","03/10/2014","23",38.75
"790","03/11/2014","00",11.875
"791","03/11/2014","01",7
"792","03/11/2014","02",10.5
"793","03/11/2014","03",17.875
"794","03/11/2014","04",35.625
"795","03/11/2014","05",81.75
"796","03/11/2014","06",159.125
"797","03/11/2014","07",376.875
"798","03/11/2014","08",382.5
"799","03/11/2014","09",267.875
"800","03/11/2014","10",222.75
"801","03/11/2014","11",194.375
"802","03/11/2014","12",184.5
"803","03/11/2014","13",194.125
"804","03/11/2014","14",188.125
"805","03/11/2014","15",207.375
"806","03/11/2014","16",225.5
"807","03/11/2014","17",235.625
"808","03/11/2014","18",160.125
"809","03/11/2014","19",95.5
"810","03/11/2014","20",63.5
"811","03/11/2014","21",45
"812","03/11/2014","22",33.875
"813","03/11/2014","23",18
